slot,max_bid,max_bid_relay,mev_reward,mev_reward_relay,proposer_index,is_rocketpool,node_address,in_smoothing_pool,correct_fee_recipient,priority_fees,avg_fee,eth_collat_ratio,is_vanilla,reth_portion,proxy_max_bid
5019346,,,,,269262.0,True,0x7f52ADd1899886153A53B2b7A84A49417aCD4BEC,False,True,0.046760835313588094,0.15,2.0,True,0.425,0.12610811940500666
5019495,,,,,303018.0,True,0x1De3626d6fc2d7c14AF8020B5E8A0c3371D9195D,False,False,0.03997722178418899,0.15,4.0,True,0.6375,0.3069842626105562
5019984,,,,,432104.0,True,0x53829Cc7E582F5D9945d1bfC0e2Ed8B271202592,True,True,0.022436931144153193,0.15,2.285714285714286,True,0.47812499999999997,0.11379400876482336
5020257,,,,,263519.0,True,0x751683968FD078341C48B90bC657d6bAbc2339F7,True,True,0.020106293153984392,0.15789473684210525,2.0,True,0.42105263157894735,0.11267785820235496
5022898,,,,,274585.0,True,0x7f52ADd1899886153A53B2b7A84A49417aCD4BEC,False,True,0.02767636684313724,0.15,2.0,True,0.425,0.11722189732514772
5023437,,,,,292652.0,True,0xc2E11bA3A515240Fc4D0f4a86B8BB79dF26f9F8c,False,True,0.015665579653125348,0.18263953109352302,2.0,True,0.4086802344532385,0.1536075090794654
5023489,,,,,314859.0,True,0x4F88B7c5d88947155A31E18c3D57483Af9f2eA6F,False,True,0.0008066372623024,0.15,2.0,True,0.425,0.05034193141911385
5023749,,,,,415220.0,True,0xA9c8550BffD4bD11c09da4a807dCC3B87C71B481,True,True,0.02192801972951053,0.15,2.0,True,0.425,0.03569077799608108
5025235,,,,,405535.0,True,0x9ab595091a172BB176E361874704AF2e9a35E966,False,True,0.027419248328533433,0.15,2.0,True,0.425,0.058533012254819064
5025818,,,,,263391.0,True,0x63a7405cfa7103Df9D13f5E3243a316c8cB14c84,False,True,0.02924365242751508,0.1485190318140883,2.0,True,0.42574048409295584,0.08056633666752638
5026317,,,,,261271.0,True,0x29a954e4B56151C5335500fefE570F81E817B38A,False,True,0.004435723007355878,0.15,2.0,True,0.425,0.04849973250348431
5027308,,,,,442544.0,True,0x53829Cc7E582F5D9945d1bfC0e2Ed8B271202592,True,True,0.019556742201324816,0.15,2.0,True,0.425,0.05538783248315616
5027919,,,,,292705.0,True,0x1De3626d6fc2d7c14AF8020B5E8A0c3371D9195D,False,False,0.04603655294454525,0.15,2.0,True,0.425,0.10235257098801202
5028183,,,,,401892.0,True,0xc992a9F75Fc162B91a481EEf9aeC47465218C91A,True,True,0.007411914462424503,0.15,2.0,True,0.425,0.07143918784484735
5029064,,,,,393437.0,True,0x2B6272Da4872C8727C3577dEB0e77bADf6a61636,False,True,0.02562216739868474,0.15,2.0,True,0.425,0.09317539033704525
5030565,,,,,260597.0,True,0x72eD84c5232a8e0bF88aFF101dd9C3fE30fB1AF1,False,True,0.05895889460763836,0.15,2.0,True,0.425,0.07488179595941387
5031074,,,,,263696.0,True,0x78a47e8041f0F34b52dDfD55ed0d4Fc8c0435995,True,False,0.05781193908700308,0.15,2.0,True,0.425,0.04439495572354475
5031076,,,,,267845.0,True,0x653F988d71e67c7a035098D75449c0A5278F62A8,True,False,0.03674592610728173,0.15,2.0,True,0.425,0.04439495572354475
5032088,,,,,294933.0,True,0x7B94aEBCFb9A0cA4A461cEaca7804BaA3F925cbe,False,True,0.002707974949477528,0.15,2.0,True,0.425,0.06797894559973985
5032631,,,,,444927.0,True,0x8990D7555Fee1e164b8CB09A6fA51Aa616f32618,True,False,0.033797320504582,0.175,2.0,True,0.4125,0.0444302495502563
5033368,,,,,274584.0,True,0x7f52ADd1899886153A53B2b7A84A49417aCD4BEC,False,True,0.007551191137172628,0.15,2.0,True,0.425,0.11228437947124305
5033701,,,,,422804.0,True,0x02523F5c440f09ae533600CfC0999ce30df2a523,True,False,0.08210970586754103,0.15,2.0,True,0.425,0.17299202220103221
5033908,,,,,432072.0,True,0x8990D7555Fee1e164b8CB09A6fA51Aa616f32618,True,False,0.054472721374260145,0.175,2.0,True,0.4125,0.06415584389118895
