slot,lost_eth_bid_estimate,lost_eth_nobid_neighborestimate,lost_eth_nobid_avgestimate,lost_eth_bad_recipient,max_bid,max_bid_relay,mev_reward,mev_reward_relay,proposer_index,is_rocketpool,node_address,in_smoothing_pool,correct_fee_recipient,priority_fees,avg_fee,eth_collat_ratio,is_vanilla,reth_portion,temp,proxy_max_bid
6504958,0.04341616388132602,,,,0.13094178789187802,Flashbots,,,309436.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.012446280956201391,0.1875953648943329,2.013245033112583,True,0.4088747012209444,,0.12158739613338466
6505120,0.028568173373565778,,,,0.07681503908893964,Flashbots,,,588487.0,True,0xA8301D71A651AAF080E83966485FACC61E9c23FC,True,True,0.025301241277192674,0.14,4.0,True,0.645,,0.24447653666862468
6505313,-0.004156194201655893,,,,0.11300734463431439,Ultra Sound,,,439039.0,True,0xacB7CFB56D6835d9E2Fa3E3F273A0450468082D9,False,True,0.11216181260220397,0.15,2.0,True,0.425,,0.07521810140326325
6506162,,,,0.028521964552908768,0.063111560565902,Flashbots,,,312979.0,True,0x9e43d1a488a2b3E0d5Bf8e0f4201b057f5Bb4391,False,False,0.04837691047658563,0.1784,2.5454545454545454,True,0.49882857142857145,,0.05464530803512852
6506374,,0.15827173856839752,0.03616585410921341,,,,,,403165.0,True,0x7B09D96d2692fF85d3cd04114D88d5884b1b23AD,True,True,0.02044857697213086,0.15,2.0,True,0.425,,0.43362120362787104
6506657,0.08295830045073324,,,,0.15319758398975122,Flashbots,,,433071.0,True,0xbCD593d534082b924a746D3264dABE4cA8219401,True,True,0.010176614191773155,0.14,4.0,True,0.645,,0.08408373139083955
6507335,,0.03285493087237411,0.028630109016415814,,,,,,445255.0,True,0x89d492909b28D2a51d26D03a735Bb180c0dc9F43,True,True,0.06115693837100339,0.14,4.0,True,0.645,,0.1237275266144172
6507793,0.028157004432205736,,,,0.11131151259150633,Ultra Sound,,,362107.0,True,0x768FeF508a32CB16f1FaEB2b8986741e7845eF75,True,True,0.034594365007553925,0.15,2.0,True,0.425,,0.16308062922016564
6508318,0.018569418769685878,,,,0.09748689924752602,Ultra Sound,,,432378.0,True,0x895F6558f0b02F95F48EF0d580eC885056dcCCC6,False,True,0.04462855001200319,0.15,2.0,True,0.425,,0.13677253120324412
6508404,0.009632169096788643,,,,0.08181906494568253,Ultra Sound,,,292275.0,True,0x327260c50634136551bfE4e4eB082281555AAfAE,False,True,0.050222152167346025,0.19410857831016787,2.0,True,0.40294571084491604,,0.07538735551650559
6508714,,,,0.0492025818705489,0.12778496742248546,Blocknative,,,432005.0,True,0x895F6558f0b02F95F48EF0d580eC885056dcCCC6,False,False,0.11949639535475491,0.15,2.0,True,0.425,,0.07935398991941213
6508889,0.009471094256075294,,,,0.09154547505254419,bloXroute Max Profit,,,422049.0,True,0x7C5d0950584F961f5c1054c88a71B01207Bf9CB7,False,True,0.060653553647483954,0.15,2.0,True,0.425,,0.0853271881120883
6510219,0.042656876829844585,,,,0.11746101929499826,Ultra Sound,,,437935.0,True,0x3ca42cB29F26B214ae6Cfde4001012CdD2735c13,True,True,0.017548984341359496,0.14666666666666667,2.285714285714286,True,0.48,,0.31812867620181823
6511018,,,,0.024046820408673543,0.06245245769055873,Flashbots,,,543681.0,True,0x22FFBA127F6741a619fa145516EF4D94B90f093A,False,False,0.05550275885594869,0.15,2.0,True,0.425,,0.1015928932504434
6511615,0.06224594092257475,,,,0.19460364956978687,Ultra Sound,,,260611.0,True,0xBC74e8639F23B66Dd35883cb76F155bE3222EEa4,True,True,0.037793533608661195,0.10123067112735362,2.0,True,0.4493846644363232,,0.2848725427604681
6511672,0.021741663782456268,,,,0.08848623888685865,Ultra Sound,,,466252.0,True,0x9A8dc6dcD9fDC7efAdbED3803bf3Cd208C91d7C1,True,True,0.04645886492638852,0.14,4.0,True,0.645,,0.08954671227448545
6511744,,,,0.020414981334182063,0.05302013889398363,Flashbots,,,533615.0,True,0x22FFBA127F6741a619fa145516EF4D94B90f093A,False,False,0.033398391614310866,0.15,2.0,True,0.425,,0.0760508008269003
6512326,,,,0.11265305863909841,0.29257341547877475,Blocknative,,,430365.0,True,0x663CbbD93B5eE095AC8386C2a301EB1C47D73aA9,False,False,0.25224222911087407,0.15,2.0,True,0.425,,0.32254720293777556
6512332,0.48533567198942074,,,,1.046690206387799,Flashbots,,,349392.0,True,0x8B90753A76CA2113C94d0C13936c9f03C08FF8e3,False,True,0.026758243863690148,0.15733333333333335,2.6666666666666665,True,0.5266666666666666,,0.7039948338400889
6512525,0.0010721797872999337,,,,0.07038806270001423,Ultra Sound,,,432044.0,True,0x895F6558f0b02F95F48EF0d580eC885056dcCCC6,False,True,0.06124748705227287,0.15,2.0,True,0.425,,0.10510923111166638
6514052,0.44931839749215313,,,,1.1905943341989753,Flashbots,,,484040.0,True,0xFe6066b8F2d173544b69C807f758425b59aEcd74,False,True,0.021436350376654992,0.15,2.0,True,0.425,,0.7441766694236281
6514290,,0.217519039627636,0.034321020263217566,,,,,,450780.0,True,0x39cB89A82B401FA4941F304A3cdBdc1C51C77761,True,True,0.02478936249212109,0.15,2.0,True,0.425,,0.5922847568774673
6514624,0.04443540529223937,,,,0.07604142292919774,Flashbots,,,595515.0,True,0xDB21B164A38a5eF18bA33E6A61BA192B3649f879,True,True,0.0,0.14,4.0,True,0.645,,0.09835918981473164
6514753,0.01647265575870444,,,,0.07433529902285561,Flashbots,,,443822.0,True,0x89d492909b28D2a51d26D03a735Bb180c0dc9F43,True,True,0.04180738383133241,0.14,4.0,True,0.645,,0.10354354432541016
