slot,max_bid,max_bid_relay,mev_reward,mev_reward_relay,proposer_index,is_rocketpool,node_address,in_smoothing_pool,correct_fee_recipient,priority_fees,avg_fee,eth_collat_ratio,is_vanilla,reth_portion,temp
5857162,,,,,462046.0,True,0xec1BDDec1d5F64E6072a3Eee0274423B17Ec0A60,True,True,0.07115437148439478,0.15,2.0,True,0.425,
5859832,,,,,518607.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.02477117272482217,0.15,2.0,True,0.425,
5860474,,,,,269223.0,True,0x1eBB2AB70b38037d1ae40Fb6AbA75150942CBc63,True,True,0.003473179897058737,0.2,2.0,True,0.4,
5861771,,,,,418452.0,True,0xDF1aa393D35EdB09E48D5d8f7dbdF82f9e3684ef,True,True,0.11771706125481037,0.15,2.0,True,0.425,
5877288,,,,,450780.0,True,0x39cB89A82B401FA4941F304A3cdBdc1C51C77761,True,True,0.030252778655728303,0.15,2.0,True,0.425,
5877424,,,,,411301.0,True,0x5Bd353C49fe776b9Bd0661c1D86ADe344d88D416,True,False,0.1390013106516782,0.14622902359438705,2.0,True,0.4268854882028065,
5877603,,,,,509172.0,True,0xF6b216dd90873d07e45635AfBBCd1B46A490dd7b,True,True,0.007756514096566544,0.15,2.0,True,0.425,
5879029,,,,,450780.0,True,0x39cB89A82B401FA4941F304A3cdBdc1C51C77761,True,True,0.021278994044891007,0.15,2.0,True,0.425,
5879427,,,,,525935.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.015266594274609205,0.15,2.0,True,0.425,
5880416,,,,,306549.0,True,0xA9c8550BffD4bD11c09da4a807dCC3B87C71B481,True,True,0.001691809961536035,0.15462843343373606,2.0,True,0.422685783283132,
5880875,,,,,415220.0,True,0xA9c8550BffD4bD11c09da4a807dCC3B87C71B481,True,True,0.000903113878129047,0.15462843343373606,2.0,True,0.422685783283132,
5881768,,,,,518589.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.015800743820338414,0.15,2.0,True,0.425,
5882167,,,,,527221.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.006909791307004167,0.15,2.0,True,0.425,
5882526,,,,,527267.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.00870501269178603,0.15,2.0,True,0.425,
5882660,,,,,260594.0,True,0xB0a2Ef3c7680A265692252D212440C7326Ea1792,True,True,0.022048966190969955,0.12778688574505112,2.0,True,0.4361065571274744,
5882921,,,,,518572.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.01212019996752892,0.15,2.0,True,0.425,
5884636,,,,,518592.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.018087617188510003,0.15,2.0,True,0.425,
5885024,,,,,508507.0,True,0xb013B41BDEF3FeD6CdE651E9f2Bc2fFD2238BAd4,False,True,0.14391233250904392,0.15,2.0,True,0.425,
5885032,,,,,302376.0,True,0x4Cda7590079425792310D57FcF841a99e3f008eE,False,True,0.00206364850010751,0.18839208662834347,2.0,True,0.40580395668582825,
5885889,,,,,516630.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.015000144578021433,0.15,2.0,True,0.425,
5887640,,,,,264805.0,True,0x5D55f5453619d9DF806f9a9Cb2986A919B4882D1,True,True,0.007795338806539911,0.10935090917099481,2.0,True,0.4453245454145026,
5890425,,,,,518606.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.046141922092473614,0.15,2.0,True,0.425,
5891072,,,,,332128.0,True,0x5280B7aD2aFF8872C4110A0EA2E919c616F55D19,True,True,0.02575851865603092,0.15714285714285714,2.0,True,0.42142857142857143,
5892719,,,,,260967.0,True,0x5280B7aD2aFF8872C4110A0EA2E919c616F55D19,True,True,0.016136201701550404,0.15714285714285714,2.0,True,0.42142857142857143,
5893067,,,,,525898.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.023544085543009633,0.15,2.0,True,0.425,
5894510,,,,,525940.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.017807840359194464,0.15,2.0,True,0.425,
5894605,,,,,518590.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.017952120135028417,0.15,2.0,True,0.425,
5895968,,,,,480029.0,True,0xC21969c23a264412C791494EF8721e4A0429dA81,True,True,0.02091537051193547,0.15,2.0,True,0.425,
5897559,,,,,518605.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.03745848827697605,0.15,2.0,True,0.425,
5901810,,,,,527247.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.04325633729598954,0.15,2.0,True,0.425,
5904026,,,,,404775.0,True,0x5280B7aD2aFF8872C4110A0EA2E919c616F55D19,True,True,0.009755407568055935,0.15714285714285714,2.0,True,0.42142857142857143,
5905273,,,,,527245.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.030071902914205768,0.15,2.0,True,0.425,
5906015,,,,,527210.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.015153064057189672,0.15,2.0,True,0.425,
5908337,,,,,527192.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.026562308704427284,0.15,2.0,True,0.425,
5909589,,,,,405869.0,True,0x4FAefA6c1ee5ABeaB54E9cF71f7913697627755D,False,True,0.03351240649167416,0.15,2.0,True,0.425,
5915662,,,,,518601.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.05882236915547709,0.15,2.0,True,0.425,
5918831,,,,,498586.0,True,0x02523F5c440f09ae533600CfC0999ce30df2a523,True,True,0.03449605892922119,0.15,2.0,True,0.425,
5924612,,,,,269455.0,True,0x5280B7aD2aFF8872C4110A0EA2E919c616F55D19,True,True,0.014324975942255536,0.15714285714285714,2.0,True,0.42142857142857143,
5926773,,,,,518591.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.018558703634545745,0.15,2.0,True,0.425,
5930735,,,,,260567.0,True,0x724158F27466BF57C71AdeA8299B0a713d84E3f2,True,True,0.02523669625129288,0.12406279204447022,2.0,True,0.4379686039777649,
5932650,,,,,434803.0,True,0x867f8A86d0a4820f839114473DFAe7a02f3Becdb,True,True,0.015487503425937662,0.15,2.0,True,0.425,
5933857,,,,,525948.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.050924372283776574,0.15,2.0,True,0.425,
5934071,,,,,412338.0,True,0xB0a2Ef3c7680A265692252D212440C7326Ea1792,True,True,0.02028667472456658,0.12778688574505112,2.0,True,0.4361065571274744,
5938079,,,,,485488.0,True,0xdBC41aEAeA480459386feeC0C575F7ca56e8FfF1,True,True,0.029873663369187092,0.15,2.0,True,0.425,
5938256,,,,,527191.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.01059389889871388,0.15,2.0,True,0.425,
5939002,,,,,271870.0,True,0x324F20a5e7DC9E3Ae7B08acd179Bc6eEAFB8d44D,True,True,0.06509488262595461,0.1966302750572361,2.0,True,0.40168486247138196,
5941497,,,,,386467.0,True,0x65E36861cBC102560055Ac5273d266bccb22cBB9,False,True,0.04938242586022618,0.15,2.0,True,0.425,
5945909,,,,,527218.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.028967594350833667,0.15,2.0,True,0.425,
5948105,,,,,527226.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.6081062543119753,0.15,2.0,True,0.425,
5951166,,,,,525946.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.041403071868597055,0.15,2.0,True,0.425,
5952148,,,,,484216.0,True,0xd9D3106bfa3f242BbCa1416D1Ccd95fE109c3CF8,True,True,0.005246411561268574,0.15,2.0,True,0.425,
5954236,,,,,422802.0,True,0x02523F5c440f09ae533600CfC0999ce30df2a523,True,True,0.01831558520097775,0.15,2.0,True,0.425,
5955532,,,,,527210.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.06438567107892237,0.15,2.0,True,0.425,
5956654,,,,,527205.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.05649938050781771,0.15,2.0,True,0.425,
5959012,,,,,545627.0,True,0x14cfbD1D60684F32B5B3466829D5760384618c81,True,True,0.06417329240232857,0.15,2.0,True,0.425,
5959715,,,,,527192.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.014180512453406308,0.15,2.0,True,0.425,
5959898,,,,,527224.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.015689063738588676,0.15,2.0,True,0.425,
5960302,,,,,485434.0,True,0xc992a9F75Fc162B91a481EEf9aeC47465218C91A,True,True,0.028071339183233176,0.15,2.0,True,0.425,
5961469,,,,,525899.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.020869170153701176,0.15,2.0,True,0.425,
5964046,,,,,544613.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.01602477841669864,0.15,2.0,True,0.425,
5965188,,,,,544591.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.017378124939053382,0.15,2.0,True,0.425,
5969293,,,,,460337.0,True,0x9b864a921b4BF45725aeB00C083B956C7467e67d,True,True,0.23006469003949556,0.15,2.0,True,0.425,
5970623,,,,,292652.0,True,0xc2E11bA3A515240Fc4D0f4a86B8BB79dF26f9F8c,False,True,0.006333275235590824,0.171759687395682,2.0,True,0.414120156302159,
5971033,,,,,545646.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.10947580378999461,0.15,2.0,True,0.425,
5971428,,,,,270743.0,True,0x8392181ccB399806218ea5F4C32d2dcd21d867D1,False,True,0.015382872370866593,0.14117925717166652,2.0,True,0.4294103714141667,
5971684,,,,,492094.0,True,0x773fd91449CF5dE986d9129F28AAE224AFADd098,True,True,0.00926005696978606,0.15,2.0,True,0.425,
5972254,,,,,525909.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.017323916932260156,0.15,2.0,True,0.425,
5972614,,,,,547882.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.04208890840934718,0.15,2.0,True,0.425,
5975393,,,,,516152.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.015707041522542903,0.15,2.0,True,0.425,
5976606,,,,,397929.0,True,0xbA13F8ca237B16F654E0Aea1f8F434ECc9c0214b,True,True,0.02085763001108409,0.15,2.0,True,0.425,
5980086,,,,,474786.0,True,0xcf893845C90Ede75106Bbcd402EFC792F6C5b4BF,True,True,0.07711712248542756,0.15,2.0,True,0.425,
5981207,,,,,527252.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.019247550800605542,0.15,2.0,True,0.425,
5983533,,,,,547897.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.07016075688713296,0.15,2.0,True,0.425,
5983830,,,,,548009.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.02729571978654304,0.15,2.0,True,0.425,
5984544,,,,,498032.0,True,0xDBef206584d2b84b625c7d78067aE977f8EE1A29,True,True,0.03154052689384217,0.15,2.0,True,0.425,
5986845,,,,,525960.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.018237931771018564,0.15,2.0,True,0.425,
5987675,,,,,547893.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.04628512683752766,0.15,2.0,True,0.425,
5988287,,,,,527247.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.013641644887304304,0.15,2.0,True,0.425,
5989364,,,,,527252.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.015920851174323073,0.15,2.0,True,0.425,
5989823,,,,,518592.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.05342164535390683,0.15,2.0,True,0.425,
